CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,MES,AÑO,FECHA,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,POT_REDOX_CAMPO_SUP,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_FON,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,PROFUNDIDAD,CAUDAL
OCAVM2696,OCAVM2696-091212,LAGO NABOR CARRILLO 1,ene,2013,06/01/2013,304.7261,<3,,1.5,106.28,89.792,83.8,192,129.48,270,0.84,<0.021,4.9595,34.16,40,35,<1,,<1,<1,<1,,,,8.2,,,200,0.75,1.1038,2937.6,4590,,,9.47,,,20.1,7.1,,,,,180,19.5,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,198,,,77.8,20.2,,,,,21.2,,,,
OCAVM2698,OCAVM2698-091212,LAGO NABOR CARRILLO 2,ene,2013,06/01/2013,743.3071,<3,,1.5,54.7825,48.3665,99.65,189,174.32,335,15.12,<0.021,4.9842,6.44,26.5,21.56,<1,,<1,<1,<1,,,,10,,,200,0.5,1.0076,3110.4,4860,,,9.53,,,22.5,10.5,,,,,170,190,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,175,,,77.8,26.2,,,,,13.5,,,,
OCAVM2698,OCAVM2698-140413,LAGO NABOR CARRILLO 2,abr,2013,09/04/2013,919.3467,<2,,1,73.312,58.307,<2,34,214.97,652,9.42,<0.021,1.8362,18.85,30.1,28.27,<1,<1,<1,<1,<1,<1,<1,<1,8.9,,27.4309,150,0.3,1.1815,1241.6,1940,1941,1939,,,,,,,,,,160,219,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,168.3,165.9,162.7,404.5,26.4,,26.5,26.1,26,26.5,26.1,26,,
OCAVM2696,OCAVM2696-140413,LAGO NABOR CARRILLO 1,abr,2013,10/04/2013,,>24000,,24000,62.846,37.345,<2,42,291.52,740,9.98,<0.021,2.0733,18.57,30.6,28.55,<1,<1,<1,<1,<1,<1,<1,<1,11,,33.8655,150,0.15,1.128,1214.08,1897,1896,1895,,,,,,,,,,260,481,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,196,196,197,545.61,26.3,,26.1,26,26,26.1,26,26,,
OCAVM2696,OCAVM2696-131013,LAGO NABOR CARRILLO 1,oct,2013,11/10/2013,,<2,,1,111.854,63.707,15.12,63,215.73,576,8.0607,<0.021,0.7324,2.4924,11.3,10.5531,,,<1,,<1,6.309148265,,3.813882532,6.3,,5.1412,150,0.15,1.0795,3048.32,4763,,4769,,,,,,,,,,96,75.8,<0.01,<0.003,<0.005,,<0.001,<0.005,-108.8,,-109.1,247.62,24.3,,22.6,,22.4,22.6,22.4,,,
OCAVM2698,OCAVM2698-131013,LAGO NABOR CARRILLO 2,oct,2013,11/10/2013,17.5408,<2,,1,118.87,110.763,13.2,44,187.4,402,1.3479,<0.021,0.6314,0.0428,2,1.3907,,,2.673082064,,2.527805865,2.901073397,,2.357378595,4.6,,2.4269,150,0.15,1.0116,3005.44,4696,,4695,,,,,,,,,,<10,70.1,<0.01,<0.003,<0.005,,<0.001,<0.005,161,,161,51.43,24.9,,22,,21.1,22,21.1,,,
OCAVM2696,OCAVM2696-160214,LAGO NABOR CARRILLO 1,feb,2014,11/02/2014,680.64,40,,40,53.06,43.02,17.5,58,125.09,532,3.07,<0.021,0.08,0.01,3.1,3.08,<1,<1,<1,,<1,3.1,,3.43,5.7,,5.717,150,0.1,1.056,4017.6,5022,5051,5060,9.5,9.4,8.6,127.3,8.3,,,114.8,5.8,130,350,<0.01,<0.003,<0.005,,<0.001,<0.005,448.7,427,417.6,556.16,23.8,,21.3,14.2,14.2,21.3,,,2.5,
OCAVM2698,OCAVM2698-160214,LAGO NABOR CARRILLO 2,feb,2014,11/02/2014,458.02,<3,,1.5,56.83,44.09,37.35,47,123.66,506,0.75,<0.021,<0.02,0.27,1,1.02,,<1,4.91,,4.75,,,6.97,5.4,,5.31,100,0.1,1.06,4620.8,5776,4501,4531,9.6,9.5,9.4,>150,10.3,149.1,9.8,134.4,8.7,64,304,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,86,89,89,396.31,24.5,,23.2,14.6,13.5,23.2,14.6,13.5,2.5,
OCAVM2696,OCAVM2696-280914,LAGO NABOR CARRILLO 1,sep,2014,17/09/2014,117.01,<3,,1.5,83.28,78.43,9,11,163.22,410,3.056,<0.021,0.083,0.057,3.2,3.113,<1,<1,<1,,<1,<1,,<1,5.9,,5.521,120,0.2,0.95,280.96,439,,449,9.3,,9,88.1,8.2,,,99.2,9.1,156,97.1,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,36,,34,312.4,22.4,,20.4,,20.3,20.3,20.3,20.4,2.5,
OCAVM2698,OCAVM2698-280914,LAGO NABOR CARRILLO 2,sep,2014,17/09/2014,64.74,<3,,1.5,72.57,59.09,10.2,14,172.67,435,0.756,<0.021,<0.02,0.362,1.1,1.118,<1,,<1,,<1,,,,5.4,,5.301,100,0.2,1.006,287.36,449,,,9.4,,,75.7,7.1,,,,,60,<2.5,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,159,,,302.9,21.9,,20.8,,,20.8,,,0.8,
OCAVM2696,OCAVM2696-290315,LAGO NABOR CARRILLO 1,mar,2015,24/03/2015,280.55,930,,930,65.35,63.38,30.5,78,369.13,544,0.8198,0.0744,0.1512,42.6743,43.7,43.4941,<1,<1,5.2,,5.98,2.91,,3.16,20.8,,11.8615,500,,0.87,309.12,483,,462,9.4,,9.3,,,,,,,270,50.9,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,191,,135,621.86,27.3,,27.1,,25.1,27.1,26.1,25.7,2.9,
OCAVM2698,OCAVM2698-290315,LAGO NABOR CARRILLO 2,mar,2015,26/03/2015,1076.92,2100,,2100,171.64,118.24,14.55,60,732.64,904,26.3165,0.1267,0.0497,24.8531,51.3,51.1696,<1,,<1,,<1,,,,12.9,,9.8597,,,0.9118,304,475,,,7.8,,,,,,,,,340,840,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,186,,,401.77,25.4,,23.1,,,23.1,23.2,,1.2,
OCAVM2696,OCAVM2696-120715,LAGO NABOR CARRILLO 1,jul,2015,07/07/2015,99.1717,4600,,4600,108.44,79.55,17.05,68,258,643,7.393,0.049,<0.02,2.387,9.8,9.78,<1,<1,<1,,<1,<1,,<1,10.9,,10.87,60,0.1,1.04,6416,8020,,8260,9.6,,9.6,,,,,,,170,191,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,154,,153,294.69,23.1,,23,,23,23,23,,1.8,
OCAVM2698,OCAVM2698-120715,LAGO NABOR CARRILLO 2,jul,2015,07/07/2015,16.34,4600,,4600,63.22,55.28,14.99,37,229.35,465,5.117,0.0808,<0.02,12.31,17.5,17.427,<1,<1,<1,,<1,<1,,<1,15.9,,0.2842,60,0.1,1.1128,6664,8330,,8230,9.7,,9.6,,,,,,,280,59.2,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,196,,186,247.16,23.1,,23.8,,23,23,23,,1.7,
OCAVM2696,OCAVM2696-270316,LAGO NABOR CARRILLO 1,mar,2016,16/03/2016,201.0675,<3,,1.5,60.365,48.77,62.01,95,243.71,508,1.3775,<0.021,0.2715,7.9164,9.5,9.2939,<1,<1,<1,,<1,<1,,<1,4.7,,3.3966,30,0.1,0.5369,318.72,498,499,,9.4,9.2,,,,,,,,192,268,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,201,198,,408.32,22.5,,21.3,21.2,,21.3,21.2,,1.6,
OCAVM2698,OCAVM2698-270316,LAGO NABOR CARRILLO 2,mar,2016,16/03/2016,57.4419,<3,,1.5,58.4,44.865,52.51,88,213.61,431,1.2883,<0.021,0.223,22.3301,23.8,23.6184,<1,,<1,,<1,,,,4.7,,1.1397,10,0.2,0.5539,342.4,535,,,9.7,,,,,,,,,300,250,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,214,,,455.81,17.9,,15.3,,,15.3,15.2,,1.1,
OCAVM2696,OCAVM2696-100716,LAGO NABOR CARRILLO 1,ago,2016,01/08/2016,135.7233,280,,280,92.7,87.88,96.14,143,107.97,217,4.8394,<0.021,0.2312,34.3475,39.4,39.1869,<1,,6.85,,6.71,,,,17.1,,2.7437,120,0.1,1.1647,4336.8,5421,,,9.7,,,,,,,,,232,460,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-249,,,385.65,22.9,,20.7,,,20.7,20.4,,1.3,
