Lago ,Referencia,Mes,Estación,Época,Lugar ,Hemisferio ,Zona climática ,PT (mg/L),NT (mg/L),PT (mmol),NT (mmol)
Laguna,"Herrera y Nadaoka, 2020",7,Verano,Verano,Filipinas,Norte,Tropical ,0.07,0.02,0.0023,0.00
Laguna,"Herrera y Nadaoka, 2020",12,Otoño,Otro,Filipinas,Norte,Tropical ,0.09,0.04,0.0029,0.00
Experimento ,"Kelly et al., 2021",7,Verano,Verano,"Mississipi, USA",Norte,Subtropical,0.10,0.55,0.0031,0.04
Kastoria ,"Stefanidis y Dimitriou, 2019",1,Invierno,Otro,Grecia (mediterráneo),Norte,Templada,0.2,0.27,0.0065,0.02
Kastoria ,"Stefanidis y Dimitriou, 2020",7,Verano,Verano,Grecia (mediterráneo),Norte,Templada,0.2,0.27,0.0065,0.02
Beeshazar,"Niraula, 2012",ANUAL,Otoño,Otro,Nepal ,Norte,Subtropical,0.22,1.32,0.0071,0.09
Valguta Mustjarv,Cremona et al. 2016,7,Verano,Verano,Estonia ,Norte,Templada,0.24,0.67,0.0078,0.05
Jagadishpurn verano,"Gautam y Bhattarai, 2008",7,Verano,Verano,Nepal,Norte,Subtropical,0.39,1.27,0.0125,0.09
Waskana ,"Bogard, 2017",7,Verano,Verano,Canadá,Norte,Templada,0.45,1.15,0.0146,0.08
Arreso ,"Andersen, 1976",10,Otoño,Otro,Dinamarca,Norte,Templada,0.80,1.46,0.0259,0.10
Endhó,Informe Endhó ,ANUAL,Otoño,Otro,"Hidalgo, MEX ",Norte,Tropical ,3.7,19.6,0.1197,1.40
Nabor Carrillo ,"Conagua, 2021",,,,Texcoco ,Norte,Tropical ,11.7,22.7,0.3786,1.62
Ciénega Grande de Santa Marta,"Sanchez y Zea, 2000",ANUAL,Otoño,Otro,Colombia,Norte,Tropical ,0.45,0.06,0.0144,0.00
Bogoria,"Oduor y Schagerl, 2007",ANUAL,Otoño,Otro,Kenia,Ecuador,Tropical ,6.2,4.1,0.2021,0.29
Nakuru,"Oduor y Schagerl, 2008",ANUAL,Otoño,Otro,Kenia,Ecuador,Tropical ,2.4,11.8,0.0780,0.85
Peri ,Tonetta et al. 2016,11,Otoño,Otro,Brasil ,Sur,Tropical ,0.001,0.01,0.0000,0.00
Trout,"Hanson et al, 2003; Lotting et al., 2021 ",7,Verano,Verano,"Washington, USA",Norte,Templada,0.004,0.20,0.0001,0.01
Sunapee,Solomon et al. 2013,ANUAL,Otoño,Otro,"New Hampshire, USA",Norte,Templada,0.01,0.17,0.0002,0.01
Carioca ,Brighenti et al. 2015,7,Verano,Verano,Brasil ,Sur,Tropical ,0.01,0.26,0.0002,0.02
Dom Helvecio,Brighenti et al. 2015,7,Verano,Verano,Brasil ,Sur,Tropical ,0.007,0.32,0.0002,0.02
Dom Helvecio,Brighenti et al. 2015,1,Invierno,Otro,Brasil ,Sur,Tropical ,0.008,0.50,0.0003,0.04
Ruozutjaure,"Cael y Seekell et al., 2022; Ask et al, 2010",7,Verano,Verano,Suecia ,Norte,Polar,0.01,0.12,0.0003,0.01
Crampton,Solomon et al. 2013,8,Verano,Verano,"Wisconsin, USA",Norte,Templada,0.01,0.32,0.0003,0.02
Antu Sinijarv,Cremona et al. 2016,7,Verano,Verano,Estonia ,Norte,Templada,0.009,3.45,0.0003,0.25
Paul ,"Kritzberb et al., 2006",7,Verano,Verano,"Wisconsin, USA",Norte,Templada,0.01,0.38,0.0003,0.03
Knivsjön,"Cael y Seekell et al., 2022; Ask et al, 2011",7,Verano,Verano,Suecia ,Norte,Polar,0.01,0.09,0.0004,0.01
Tuesday ,"Kritzberb et al., 2006",7,Verano,Verano,"Wisconsin, USA",Norte,Templada,0.01,0.40,0.0004,0.03
Erkkijärvi,"Cael y Seekell et al., 2022; Ask et al, 2009",7,Verano,Verano,Suecia ,Norte,Polar,0.01,0.43,0.0004,0.03
Trout ,Solomon et al. 2013,ANUAL,Otoño,Otro,"Washington, USA",Norte,Templada,0.01,0.20,0.0004,0.01
Carioca ,Brighenti et al. 2015,1,Invierno,Otro,Brasil ,Sur,Tropical ,0.017,0.46,0.0005,0.03
Hampenso,Solomon et al. 2013,ANUAL,Otoño,Otro,Dinamarca,Norte,Templada,0.02,0.58,0.0007,0.04
Bure,"Giling et al., 2017",7,Verano,Verano,Dinamarca,Norte,Templada,0.02,0.70,0.0007,0.05
Ward,Batt et al. 2015,4,Primavera,Otro,"Wisconsin, USA",Norte,Templada,0.02,0.49,0.0007,0.04
